SC,Upper,pctrecovery_75%,Mid,pctrecovery_25%,Lower
Hawaii-Hamakua,192.011887780614,164.095637451494,110.912288916378,68.257298653996,52.5288035455214
Hawaii-Kona,173.997487131068,150.794255266344,102.556553681979,60.3474855352213,44.4655414502601
Hawaii-Puna,284.028351757277,233.426387057779,144.544736853981,82.0996471494366,61.3162243504769
Hawaii-Southeast,186.561213718549,152.541517781007,87.9205954916265,40.8156761266568,25.0030329366554
Kauai-East,400.847671859887,320.012304280445,183.31562169362,89.2019674891351,51.5510492695709
Kauai-Na Pali,229.356694084076,186.31649233637,111.906828616453,59.4710939772474,42.2423220449553
Lanai-North,297.275227873121,244.527304188106,145.900707853311,80.7814350286621,59.1192064255331
Lanai-South,232.107377113766,199.797002252656,138.201880283565,92.4359429505043,76.4821759879049
Maui-Kahului,362.953114225628,294.824880513218,174.668068668806,93.8802585244606,68.1450633961199
Maui-Kihei,390.742334479222,321.806350547566,202.265888545435,120.110856188306,92.6873114551651
Maui-Lahaina,475.151000668431,379.043580418595,217.747016274871,117.339478369839,84.6150567979402
Maui-Northeast,259.856584676302,220.121528718838,145.83720164814,91.2175672114738,72.6954394177256
Maui-Northwest,348.468652460637,268.964112117528,137.242943909422,54.5860756557064,29.2582628016709
Molokai-Northwest,239.16063273761,198.706183429592,125.114754185984,71.4572082860133,53.8657073009076
Molokai-Pali,214.839345892426,183.634013020261,124.384053251713,80.9767809218326,65.6908416799278
Molokai-South,229.968104121277,198.436858236562,138.811889010144,92.9427456342257,76.2464204606417
Molokai-West,182.38994238493,156.37260043908,107.945832348258,70.3043880895582,56.8711295563623
Niihau-East,128.218305743251,109.123882954494,72.4121094514401,43.287965619674,33.5039211104114
Niihau-Lehua,111.980596034128,94.0548235729024,57.0155697890936,28.5031871987807,18.5749279868707
Niihau-West,111.097941322259,97.408175385284,68.1603442300151,45.0160935410372,36.8640938511045
Oahu-East,720.924816285718,546.155183853302,280.930058997231,123.384018726365,71.4766129750567
Oahu-Kaena,416.45054294342,324.521738298939,174.795137638452,82.0644227491084,53.4001411888273
Oahu-Northeast,431.46231860657,349.218103547893,207.694744730565,110.883007668902,79.6418210287574
Oahu-Northwest,528.110120909006,420.01420498144,242.404888560354,127.71186471285,91.0148273798182
Oahu-South,443.980414518325,359.472311926211,216.322105859438,119.343307279949,86.8026647890281
